Ano;Mês;Dia;Hora;Minuto;Temperatura;Total precipitação (mm);Nebulosidade total (%);Duração do sol (min)
2018;7;14;0;0;16.66;0;0;0
2018;7;14;1;0;16.13;0;0;0
2018;7;14;2;0;15.76;0;0;0
2018;7;14;3;0;15.22;0;0;0
2018;7;14;4;0;14.68;0;100;0
2018;7;14;5;0;14.2;0;100;0
2018;7;14;6;0;13.8;0;0;0
2018;7;14;7;0;13.58;0;0;13.09
2018;7;14;8;0;13.96;0;1;59.36
2018;7;14;9;0;15.42;0;0;60
2018;7;14;10;0;18.13;0;0;60
2018;7;14;11;0;20.54;0;0;60
2018;7;14;12;0;22.11;0;0;60
2018;7;14;13;0;22.99;0;0;60
2018;7;14;14;0;23.53;0;0;60
2018;7;14;15;0;23.64;0;0;60
2018;7;14;16;0;23.39;0;0;60
2018;7;14;17;0;22.71;0;0;60
2018;7;14;18;0;21.55;0;0;36.97
2018;7;14;19;0;20.46;0;0;0
2018;7;14;20;0;19.9;0;0;0
2018;7;14;21;0;19.35;0;0;0
2018;7;14;22;0;18.28;0;0;0
2018;7;14;23;0;17.08;0;0;0
2018;7;15;0;0;15.99;0;0;0
2018;7;15;1;0;15.23;0;0;0
2018;7;15;2;0;14.82;0;0;0
2018;7;15;3;0;14.61;0;0;0
2018;7;15;4;0;14.4;0;0;0
2018;7;15;5;0;14.28;0;0;0
2018;7;15;6;0;14.46;0;0;0
2018;7;15;7;0;14.36;0;0;13.29
2018;7;15;8;0;14.98;0;0;60
2018;7;15;9;0;17.7;0;0;60
2018;7;15;10;0;20.91;0;0;60
2018;7;15;11;0;23.42;0;0;60
2018;7;15;12;0;24.71;0;0;60
2018;7;15;13;0;25.34;0;0;60
2018;7;15;14;0;25.73;0;0;60
2018;7;15;15;0;25.82;0;0;60
2018;7;15;16;0;25.6;0;0;60
2018;7;15;17;0;24.89;0;0;60
2018;7;15;18;0;24.46;0;0;37.39
2018;7;15;19;0;23.92;0;0;0
2018;7;15;20;0;22.94;0;0;0
2018;7;15;21;0;21.87;0;0;0
2018;7;15;22;0;20.79;0;0;0
2018;7;15;23;0;19.62;0;2.4;0
2018;7;16;0;0;18.7;0;6;0
2018;7;16;1;0;18.37;0;5.4;0
2018;7;16;2;0;18.11;0;2.4;0
2018;7;16;3;0;18.07;0;0.3;0
2018;7;16;4;0;18.15;0;0;0
2018;7;16;5;0;17.92;0;0;0
2018;7;16;6;0;17.77;0;0;0
2018;7;16;7;0;17.35;0;0;13.51
2018;7;16;8;0;16.81;0;0;60
2018;7;16;9;0;18.23;0;0;60
2018;7;16;10;0;21.79;0;0;60
2018;7;16;11;0;24.05;0;0;60
2018;7;16;12;0;25.39;0;0;60
2018;7;16;13;0;26.12;0;0;60
2018;7;16;14;0;26.62;0;0;60
2018;7;16;15;0;26.75;0;0;60
2018;7;16;16;0;26.49;0;0;60
2018;7;16;17;0;25.6;0;0;60
2018;7;16;18;0;24.3;0;0;37.81
2018;7;16;19;0;23.18;0;0;0
2018;7;16;20;0;22.24;0;0;0
2018;7;16;21;0;21.38;0;0;0
2018;7;16;22;0;20.57;0;0;0
2018;7;16;23;0;19.58;0;0;0
2018;7;17;0;0;18.59;0;0;0
2018;7;17;1;0;18.05;0;0;0
2018;7;17;2;0;17.42;0;0;0
2018;7;17;3;0;16.66;0;0;0
2018;7;17;4;0;15.97;0;0;0
2018;7;17;5;0;15.43;0;0;0
2018;7;17;6;0;15.09;0;0;0
2018;7;17;7;0;14.89;0;0;13.75
2018;7;17;8;0;15.15;0;0;60
2018;7;17;9;0;17.52;0;0;60
2018;7;17;10;0;20.13;0;0;60
2018;7;17;11;0;22.26;0;0;60
2018;7;17;12;0;23.64;0;0;60
2018;7;17;13;0;24.37;0;3;58.09
2018;7;17;14;0;24.56;0;1;59.36
2018;7;17;15;0;24.32;0;3;58.09
2018;7;17;16;0;23.66;0;0;60
2018;7;17;17;0;22.31;0;2;58.72
2018;7;17;18;0;20.15;0;37;23.18
2018;7;17;19;0;18.38;0;81;0
2018;7;17;20;0;17.34;0;100;0
2018;7;17;21;0;16.82;0;100;0
2018;7;17;22;0;16.48;0;100;0
2018;7;17;23;0;15.98;0;57;0
2018;7;18;0;0;15.72;0;10;0
2018;7;18;1;0;15.34;0;18;0
2018;7;18;2;0;14.73;0;11;0
2018;7;18;3;0;14.24;0;12;0
2018;7;18;4;0;13.75;0;0;0
2018;7;18;5;0;13.28;0;0;0
2018;7;18;6;0;12.87;0;0;0
2018;7;18;7;0;12.55;0;0;14.01
2018;7;18;8;0;14.21;0;0;60
2018;7;18;9;0;16.27;0;0;60
2018;7;18;10;0;19.31;0;0;60
2018;7;18;11;0;21.89;0;0;60
2018;7;18;12;0;23.81;0;0;60
2018;7;18;13;0;24.86;0;0;60
2018;7;18;14;0;25.52;0;0;60
2018;7;18;15;0;25.75;0;0;60
2018;7;18;16;0;25.56;0;0;60
2018;7;18;17;0;24.92;0;0;60
2018;7;18;18;0;23.95;0;0;38.66
2018;7;18;19;0;23.02;0;0;0
2018;7;18;20;0;22.07;0;0;0
2018;7;18;21;0;20.23;0;0;0
2018;7;18;22;0;18.61;0;0;0
2018;7;18;23;0;17.59;0;0;0
2018;7;19;0;0;16.89;0;0;0
2018;7;19;1;0;16.51;0;0;0
2018;7;19;2;0;16.34;0;0;0
2018;7;19;3;0;16.38;0;0;0
2018;7;19;4;0;16.64;0;0;0
2018;7;19;5;0;16.4;0;0;0
2018;7;19;6;0;15.85;0;0;0
2018;7;19;7;0;15.34;0;0;14.29
2018;7;19;8;0;16.12;0;0;60
2018;7;19;9;0;19.12;0;0;60
2018;7;19;10;0;21.52;0;0;60
2018;7;19;11;0;23.36;0;0;60
2018;7;19;12;0;24.7;0;0;60
2018;7;19;13;0;25.51;0;0;60
2018;7;19;14;0;26.01;0;0;60
2018;7;19;15;0;26.16;0;0;60
2018;7;19;16;0;25.97;0;0;60
2018;7;19;17;0;25.34;0;0;60
2018;7;19;18;0;24.11;0;0;39.09
2018;7;19;19;0;22.74;0;0;0
2018;7;19;20;0;21.83;0;0;0
2018;7;19;21;0;21.23;0;0;0
2018;7;19;22;0;20.39;0;0;0
2018;7;19;23;0;19.26;0;0;0
2018;7;20;0;0;17.97;0;0;0
2018;7;20;1;0;17.09;0;0;0
2018;7;20;2;0;16.54;0;0;0
2018;7;20;3;0;16.34;0;0;0
2018;7;20;4;0;16.11;0;0;0
2018;7;20;5;0;15.73;0;0;0
2018;7;20;6;0;15.51;0;0;0
2018;7;20;7;0;15.35;0;0;14.59
2018;7;20;8;0;16.92;0;0;60
2018;7;20;9;0;19.47;0;0;60
2018;7;20;10;0;22.11;0;0;60
2018;7;20;11;0;24.34;0;0;60
2018;7;20;12;0;25.75;0;0;60
2018;7;20;13;0;26.62;0;0;60
2018;7;20;14;0;27.15;0;0;60
2018;7;20;15;0;27.28;0;0;60
2018;7;20;16;0;26.93;0;0;60
2018;7;20;17;0;26.17;0;0;60
2018;7;20;18;0;25.06;0;0;39.52
2018;7;20;19;0;24.65;0;0;0
2018;7;20;20;0;23.87;0;0;0
2018;7;20;21;0;23.03;0;0;0
2018;7;20;22;0;22.52;0;0;0
2018;7;20;23;0;21.76;0;0;0
2018;7;21;0;0;20.72;0;0;0
2018;7;21;1;0;19.92;0;0;0
2018;7;21;2;0;19.15;0;0;0
2018;7;21;3;0;18.34;0;0;0
2018;7;21;4;0;17.63;0;0;0
2018;7;21;5;0;17.28;0;4.8;0
2018;7;21;6;0;16.88;0;1.8;0
2018;7;21;7;0;16.49;0;8.7;13.53
2018;7;21;8;0;17.77;0;12.9;51.77
2018;7;21;9;0;20.53;0;4.5;57.13
2018;7;21;10;0;22.88;0;6;56.17
2018;7;21;11;0;24.37;0;6.6;55.79
2018;7;21;12;0;23.87;0;8.4;54.64
2018;7;21;13;0;19.44;0;100;0
2018;7;21;14;0;17.09;0.1;100;0
2018;7;21;15;0;16.73;0;100;0
2018;7;21;16;0;15.14;0.2;100;0
2018;7;21;17;0;14.67;0.2;100;0
2018;7;21;18;0;14.32;0.1;100;0
2018;7;21;19;0;13.93;0.1;100;0
2018;7;21;20;0;13.66;0.1;100;0
2018;7;21;21;0;13.78;0.1;100;0
2018;7;21;22;0;14.13;0.1;100;0
2018;7;21;23;0;14.41;0.1;100;0
2018;7;22;0;0;14.54;0.1;100;0
2018;7;22;1;0;14.56;0.1;100;0
2018;7;22;2;0;14.55;0.1;100;0
2018;7;22;3;0;14.37;0.1;100;0
2018;7;22;4;0;14.11;0.2;100;0
2018;7;22;5;0;13.94;0.2;100;0
2018;7;22;6;0;13.87;0.2;100;0
2018;7;22;7;0;13.9;0.3;100;0
2018;7;22;8;0;14.18;0.3;100;0
2018;7;22;9;0;14.72;0;100;0
2018;7;22;10;0;15.18;0.1;100;0
2018;7;22;11;0;15.67;0.1;100;0
2018;7;22;12;0;16.05;0;100;0
2018;7;22;13;0;16.13;0;100;0
2018;7;22;14;0;16.01;0;100;0
2018;7;22;15;0;15.91;0.1;100;0
2018;7;22;16;0;15.78;0.1;100;0
2018;7;22;17;0;15.69;0.1;100;0
2018;7;22;18;0;15.63;0.1;100;0
2018;7;22;19;0;15.7;0.1;100;0
2018;7;22;20;0;15.8;0.1;100;0
2018;7;22;21;0;15.84;0;100;0
2018;7;22;22;0;15.82;0;100;0
2018;7;22;23;0;15.7;0;100;0
2018;7;23;0;0;15.45;0;100;0
2018;7;23;1;0;15.13;0;100;0
2018;7;23;2;0;14.79;0;100;0
2018;7;23;3;0;14.54;0;100;0
2018;7;23;4;0;14.42;0;100;0
2018;7;23;5;0;14.19;0;100;0
2018;7;23;6;0;13.84;0;100;0
2018;7;23;7;0;13.81;0;100;0
2018;7;23;8;0;15.03;0;100;0
2018;7;23;9;0;16.61;0;100;0
2018;7;23;10;0;18.87;0;87;4.47
2018;7;23;11;0;20.99;0;62;20.43
2018;7;23;12;0;22.76;0;27.6;42.38
2018;7;23;13;0;23.83;0;43;32.55
2018;7;23;14;0;24.39;0;100;0
2018;7;23;15;0;24.52;0;100;0
2018;7;23;16;0;24.43;0;100;0
2018;7;23;17;0;23.75;0;3.6;57.7
2018;7;23;18;0;21.79;0;0;40.82
2018;7;23;19;0;20.09;0;39;0
2018;7;23;20;0;18.88;0;20;0
2018;7;23;21;0;17.95;0;9;0
2018;7;23;22;0;17.4;0;27;0
2018;7;23;23;0;16.95;0;49;0
2018;7;24;0;0;16.62;0;100;0
2018;7;24;1;0;16.37;0;100;0
2018;7;24;2;0;15.9;0;100;0
2018;7;24;3;0;15.4;0;100;0
2018;7;24;4;0;15.01;0;100;0
2018;7;24;5;0;14.84;0;100;0
2018;7;24;6;0;14.8;0;100;0
2018;7;24;7;0;14.53;0;100;0
2018;7;24;8;0;14.69;0;100;0
2018;7;24;9;0;15.01;0;100;0
2018;7;24;10;0;15.37;0.1;100;0
2018;7;24;11;0;15.64;0.1;100;0
2018;7;24;12;0;15.99;0;100;0
2018;7;24;13;0;16.19;0;100;0
2018;7;24;14;0;16.19;0;100;0
2018;7;24;15;0;16.3;0;100;0
2018;7;24;16;0;16.16;0;100;0
2018;7;24;17;0;15.33;0;100;0
2018;7;24;18;0;14.88;0.1;100;0
2018;7;24;19;0;14.66;0.2;100;0
2018;7;24;20;0;14.39;0.2;100;0
2018;7;24;21;0;14.19;0.1;100;0
2018;7;24;22;0;14.02;0.1;100;0
2018;7;24;23;0;13.91;0.1;100;0
2018;7;25;0;0;13.84;0.1;100;0
2018;7;25;1;0;13.79;0.1;100;0
2018;7;25;2;0;13.77;0;100;0
2018;7;25;3;0;13.72;0;100;0
2018;7;25;4;0;13.67;0;100;0
2018;7;25;5;0;13.61;0;100;0
2018;7;25;6;0;13.58;0;100;0
2018;7;25;7;0;13.58;0;100;0
2018;7;25;8;0;14.31;0;100;0
2018;7;25;9;0;15.26;0.1;100;0
2018;7;25;10;0;15.67;0;100;0
2018;7;25;11;0;16.31;0;100;0
2018;7;25;12;0;17.04;0;100;0
2018;7;25;13;0;17.9;0;79;9.57
2018;7;25;14;0;17.73;0;54;25.53
2018;7;25;15;0;17.8;0;100;0
2018;7;25;16;0;17.03;0.1;100;0
2018;7;25;17;0;15.67;0.1;100;0
2018;7;25;18;0;15.05;0.2;100;0
2018;7;25;19;0;14.82;0.1;100;0
2018;7;25;20;0;14.69;0.1;100;0
2018;7;25;21;0;14.61;0;100;0
2018;7;25;22;0;14.49;0;100;0
2018;7;25;23;0;14.34;0;100;0
2018;7;26;0;0;14.14;0;100;0
2018;7;26;1;0;13.97;0;100;0
2018;7;26;2;0;13.81;0;100;0
2018;7;26;3;0;13.64;0;100;0
2018;7;26;4;0;13.42;0;100;0
2018;7;26;5;0;13.25;0;100;0
2018;7;26;6;0;13.09;0;100;0
2018;7;26;7;0;12.9;0;100;0
2018;7;26;8;0;13.09;0;100;0
2018;7;26;9;0;15.3;0;72;14.04
2018;7;26;10;0;17.6;0;0;60
2018;7;26;11;0;20.01;0;0;60
2018;7;26;12;0;21.92;0;0;60
2018;7;26;13;0;22.93;0;12;52.34
2018;7;26;14;0;23.17;0;11;52.98
2018;7;26;15;0;22.89;0;12;52.34
2018;7;26;16;0;22.06;0;20;47.23
2018;7;26;17;0;20.65;0;43;32.55
2018;7;26;18;0;18.74;0;42;23.3
2018;7;26;19;0;17.4;0;83;0
2018;7;26;20;0;16.53;0;35;0
2018;7;26;21;0;16.07;0;27;0
2018;7;26;22;0;15.69;0;0;0
2018;7;26;23;0;15.24;0;1;0
2018;7;27;0;0;14.85;0;5.1;0
2018;7;27;1;0;14.45;0;6.6;0
2018;7;27;2;0;13.98;0;100;0
2018;7;27;3;0;13.71;0;100;0
2018;7;27;4;0;13.54;0;100;0
2018;7;27;5;0;13.36;0;100;0
2018;7;27;6;0;13.08;0;0;0
2018;7;27;7;0;13.13;0;3;16.71
2018;7;27;8;0;14.47;0;0.6;59.62
2018;7;27;9;0;17;0;1.8;58.85
2018;7;27;10;0;20.03;0;0;60
2018;7;27;11;0;22.4;0;0;60
2018;7;27;12;0;23.76;0;0;60
2018;7;27;13;0;24.54;0;0;60
2018;7;27;14;0;25.04;0;0;60
2018;7;27;15;0;25.16;0;0;60
2018;7;27;16;0;24.93;0;0;60
2018;7;27;17;0;24.29;0;11;52.98
2018;7;27;18;0;22.59;0;0;42.55
2018;7;27;19;0;21.06;0;0;0
2018;7;27;20;0;20.18;0;0;0
2018;7;27;21;0;19.74;0;2.7;0
2018;7;27;22;0;19.01;0;30;0
2018;7;27;23;0;18.44;0;24.9;0
2018;7;28;0;0;17.65;0;30;0
2018;7;28;1;0;17.1;0;9.6;0
2018;7;28;2;0;16.46;0;29.7;0
2018;7;28;3;0;15.89;0;21;0
2018;7;28;4;0;15.28;0;22.8;0
2018;7;28;5;0;14.83;0;30;0
2018;7;28;6;0;14.68;0;25.2;0
2018;7;28;7;0;14.65;0;21.6;13.65
2018;7;28;8;0;16.57;0;22.5;45.64
2018;7;28;9;0;19.52;0;7.5;55.21
2018;7;28;10;0;22.05;0;8.7;54.45
2018;7;28;11;0;24.04;0;6.9;55.6
2018;7;28;12;0;25.19;0;0;60
2018;7;28;13;0;25.87;0;0;60
2018;7;28;14;0;26.26;0;0;60
2018;7;28;15;0;26.37;0;0;60
2018;7;28;16;0;26.16;0;0;60
2018;7;28;17;0;25.59;0;1;59.36
2018;7;28;18;0;24.93;0;56;17.38
2018;7;28;19;0;24.27;0;40;0
2018;7;28;20;0;22.76;0;57;0
2018;7;28;21;0;21.37;0;72;0
2018;7;28;22;0;20.31;0;42;0
2018;7;28;23;0;19.24;0;0;0
